Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Sergio Abad Beyxer,es ESP,MF,Levante,21,1989,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30f729b3
2,Damià Abella,es ESP,DFMF,Osasuna,28,1982,27,22,1934,21.5,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,e35b4a15
3,Éric Abidal,fr FRA,DF,Barcelona,30,1979,26,23,2023,22.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,016828bd
4,Santiago Acasiete,pe PER,DF,Almería,32,1977,20,17,1598,17.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,39168d69
5,Lautaro Acosta,ar ARG,FWMF,Sevilla,22,1988,10,2,283,3.1,0,1,1,0,0,0,3,0,0.00,0.32,0.32,0.00,0.32,Matches,2a3af4d5
6,Antonio Adán,es ESP,GK,Real Madrid,23,1987,3,2,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,65d62814
7,Emmanuel Adebayor,tg TOG,FW,Real Madrid,26,1984,14,6,744,8.3,5,0,5,5,0,1,0,0,0.60,0.00,0.60,0.60,0.60,Matches,936d9e3e
8,Adriano,br BRA,DFMF,Barcelona,25,1984,14,11,937,10.4,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,9d8586c4
9,Aritz Aduriz,es ESP,FW,Valencia,29,1981,29,20,1846,20.5,10,2,12,10,0,0,6,1,0.49,0.10,0.59,0.49,0.59,Matches,293211e1
10,Ibrahim Afellay,nl NED,FWMF,Barcelona,24,1986,16,7,669,7.4,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,9a8c6673
11,Sendoa Agirre,es ESP,MF,Hércules,34,1975,23,7,793,8.8,3,1,4,3,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches,0437c448
12,Imanol Agirretxe,es ESP,FW,Real Sociedad,23,1987,11,1,214,2.4,3,0,3,3,0,0,0,0,1.26,0.00,1.26,1.26,1.26,Matches,c84c1afc
13,Sergio Agüero,ar ARG,FW,Atlético Madrid,22,1988,32,31,2662,29.6,20,3,23,19,1,1,6,0,0.68,0.10,0.78,0.64,0.74,Matches,4d034881
14,Abel Aguilar,co COL,MF,Hércules,25,1985,34,33,2862,31.8,0,1,1,0,0,0,11,1,0.00,0.03,0.03,0.00,0.03,Matches,6936b41b
15,Jordi Alba,es ESP,DFMF,Valencia,21,1989,27,14,1428,15.9,2,1,3,2,0,0,6,0,0.13,0.06,0.19,0.13,0.19,Matches,4601e194
16,Unai Alba,es ESP,GK,Hércules,32,1978,2,1,101,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40e34fb7
17,David Albelda,es ESP,DFMF,Valencia,32,1977,16,12,1044,11.6,0,1,1,0,0,0,8,1,0.00,0.09,0.09,0.00,0.09,Matches,def14f68
18,Luis Alberto,es ESP,FWMF,Sevilla,17,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5294a83f
19,Raúl Albiol,es ESP,DF,Real Madrid,24,1985,20,13,1158,12.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,4bd414c1
20,Thiago Alcántara,es ESP,MF,Barcelona,19,1991,12,6,666,7.4,2,0,2,2,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,77e84962
21,Alexis,es ESP,DF,Sevilla,24,1985,21,21,1836,20.4,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,db0cd1ae
22,Alejandro Alfaro,es ESP,FWMF,Sevilla,23,1986,20,8,727,8.1,2,2,4,2,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches,7c293728
23,Iván Alonso,uy URU,FW,Espanyol,31,1979,20,10,829,9.2,2,0,2,2,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches,80084c87
24,Xabi Alonso,es ESP,MF,Real Madrid,28,1981,34,29,2665,29.6,0,5,5,0,0,0,12,0,0.00,0.17,0.17,0.00,0.17,Matches,dc001a06
25,Jozy Altidore,us USA,FW,Villarreal,20,1989,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8db8ad1e
26,Cristian Álvarez,ar ARG,GK,Espanyol,24,1985,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,87e89eb4
27,Pablo Álvarez,es ESP,MF,La Coruña,30,1980,17,3,403,4.5,1,1,2,1,0,0,1,1,0.22,0.22,0.45,0.22,0.45,Matches,08af8dbe
28,Sergio Álvarez,es ESP,DFMF,Sporting Gijón,18,1992,8,3,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,88d91621
29,Víctor Álvarez,es ESP,DFMF,Espanyol,17,1993,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,563f3469
30,Dani Alves,br BRA,DFMF,Barcelona,27,1983,35,31,2905,32.3,2,14,16,2,0,0,10,0,0.06,0.43,0.50,0.06,0.50,Matches,c9e99e49
31,Diego Alves,br BRA,GK,Almería,25,1985,33,33,2970,33.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
32,Luis Amaranto Perea,co COL,DF,Atlético Madrid,31,1979,28,28,2397,26.6,0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Matches,ff1988a5
33,Jordi Amat,id IDN,DF,Espanyol,18,1992,26,23,2152,23.9,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,d70a2141
34,Fernando Amorebieta,ve VEN,DF,Athletic Club,25,1985,17,16,1389,15.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,b2bbc0ec
