Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,6/11/2010,16:00 (08:00),South Africa za,1–1,mx Mexico,84490,Soccer City (Neutral Site),,Match Report,
Group stage,1,Fri,6/11/2010,20:30 (12:30),Uruguay uy,0–0,fr France,64100,Cape Town Stadium (Neutral Site),,Match Report,
Group stage,1,Sat,6/12/2010,13:30 (05:30),Korea Republic kr,2–0,gr Greece,31513,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Group stage,1,Sat,6/12/2010,16:00 (08:00),Argentina ar,1–0,ng Nigeria,55686,Emirates Airline Park (Neutral Site),,Match Report,
Group stage,1,Sat,6/12/2010,20:30 (12:30),England eng,1–1,us United States,38646,Royal Bafokeng Stadium (Neutral Site),,Match Report,
Group stage,1,Sun,6/13/2010,13:30 (05:30),Algeria dz,0–1,si Slovenia,30325,Peter Mokaba Stadium (Neutral Site),,Match Report,
Group stage,1,Sun,6/13/2010,16:00 (08:00),Serbia rs,0–1,gh Ghana,38833,Loftus Versfeld Stadium (Neutral Site),,Match Report,
Group stage,1,Sun,6/13/2010,20:30 (12:30),Germany de,4–0,au Australia,62660,Moses Mabhida Stadium (Neutral Site),,Match Report,
Group stage,1,Mon,6/14/2010,13:30 (05:30),Netherlands nl,2–0,dk Denmark,83465,Soccer City (Neutral Site),,Match Report,
Group stage,1,Mon,6/14/2010,16:00 (08:00),Japan jp,1–0,cm Cameroon,30620,Toyota Stadium (Neutral Site),,Match Report,
Group stage,1,Mon,6/14/2010,20:30 (12:30),Italy it,1–1,py Paraguay,62869,Cape Town Stadium (Neutral Site),,Match Report,
Group stage,1,Tue,6/15/2010,13:30 (05:30),New Zealand nz,1–1,sk Slovakia,23871,Royal Bafokeng Stadium (Neutral Site),,Match Report,
Group stage,1,Tue,6/15/2010,16:00 (08:00),Côte d'Ivoire ci,0–0,pt Portugal,37034,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Group stage,1,Tue,6/15/2010,20:30 (12:30),Brazil br,2–1,kp Korea DPR,54331,Emirates Airline Park (Neutral Site),,Match Report,
Group stage,1,Wed,6/16/2010,13:30 (05:30),Honduras hn,0–1,cl Chile,32664,Mbombela Stadium (Neutral Site),,Match Report,
Group stage,1,Wed,6/16/2010,16:00 (08:00),Spain es,0–1,ch Switzerland,62453,Moses Mabhida Stadium (Neutral Site),,Match Report,
,,,,,,,,,,,,
Group stage,2,Wed,6/16/2010,20:30 (12:30),South Africa za,0–3,uy Uruguay,42658,Loftus Versfeld Stadium (Neutral Site),,Match Report,
Group stage,2,Thu,6/17/2010,13:30 (05:30),Argentina ar,4–1,kr Korea Republic,82174,Soccer City (Neutral Site),,Match Report,
Group stage,2,Thu,6/17/2010,16:00 (08:00),Greece gr,2–1,ng Nigeria,31593,Toyota Stadium (Neutral Site),,Match Report,
Group stage,2,Thu,6/17/2010,20:30 (12:30),France fr,0–2,mx Mexico,35370,Peter Mokaba Stadium (Neutral Site),,Match Report,
Group stage,2,Fri,6/18/2010,13:30 (05:30),Germany de,0–1,rs Serbia,38294,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Group stage,2,Fri,6/18/2010,16:00 (08:00),Slovenia si,2–2,us United States,45573,Emirates Airline Park (Neutral Site),,Match Report,
Group stage,2,Fri,6/18/2010,20:30 (12:30),England eng,0–0,dz Algeria,64100,Cape Town Stadium (Neutral Site),,Match Report,
Group stage,2,Sat,6/19/2010,13:30 (05:30),Netherlands nl,1–0,jp Japan,62010,Moses Mabhida Stadium (Neutral Site),,Match Report,
Group stage,2,Sat,6/19/2010,16:00 (08:00),Ghana gh,1–1,au Australia,34812,Royal Bafokeng Stadium (Neutral Site),,Match Report,
Group stage,2,Sat,6/19/2010,20:30 (12:30),Cameroon cm,1–2,dk Denmark,38074,Loftus Versfeld Stadium (Neutral Site),,Match Report,
Group stage,2,Sun,6/20/2010,13:30 (05:30),Slovakia sk,0–2,py Paraguay,26643,Toyota Stadium (Neutral Site),,Match Report,
Group stage,2,Sun,6/20/2010,16:00 (08:00),Italy it,1–1,nz New Zealand,38229,Mbombela Stadium (Neutral Site),,Match Report,
Group stage,2,Sun,6/20/2010,20:30 (12:30),Brazil br,3–1,ci Côte d'Ivoire,84455,Soccer City (Neutral Site),,Match Report,
