Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Mohammed Abdellaoue,no NOR,FW,Hannover 96,25,1985,28,27,1990,22.1,11,0,11,8,3,3,2,0,0.50,0.00,0.50,0.36,0.36,Matches,7b068bd2
2,Yacine Abdessadki,ma MAR,MF,Freiburg,30,1981,11,8,625,6.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc6a1641
3,Mathias Abel,de GER,DF,Kaiserslautern,30,1981,22,20,1838,20.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b0157081
4,François Affolter,ch SUI,DF,Werder Bremen,20,1991,13,13,1081,12.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3bab978e
5,David Alaba,at AUT,DFMF,Bayern Munich,19,1992,30,14,1546,17.2,2,2,4,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches,05439de2
6,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,23,1987,13,13,1170,13.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ffc33b67
7,Sami Allagui,tn TUN,FWMF,Mainz 05,25,1986,19,13,1156,12.8,4,1,5,4,0,0,4,0,0.31,0.08,0.39,0.31,0.39,Matches,96d9f642
8,Martin Amedick,de GER,DF,Kaiserslautern,28,1982,14,13,1179,13.1,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,d04916fb
9,Mohamed Amsif,ma MAR,GK,Augsburg,22,1989,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c3f2927
10,Andrezinho,br BRA,DF,Köln,29,1981,7,4,383,4.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,69e775e8
11,Dennis Aogo,de GER,DFMF,Hamburger SV,24,1987,30,30,2700,30.0,0,2,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,Matches,c311243f
12,Juan Arango,ve VEN,MF,M'Gladbach,31,1980,34,34,3026,33.6,6,10,16,6,0,0,4,0,0.18,0.30,0.48,0.18,0.48,Matches,49c057c9
13,Marko Arnautovi?,at AUT,FWMF,Werder Bremen,22,1989,19,10,966,10.7,6,0,6,6,0,0,0,1,0.56,0.00,0.56,0.56,0.56,Matches,00459419
14,Maximilian Arnold,de GER,MF,Wolfsburg,17,1994,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86e119e0
15,Tolgay Arslan,de GER,MF,Hamburger SV,20,1990,8,4,386,4.3,1,0,1,1,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,963a328b
16,Renato Augusto,br BRA,MF,Leverkusen,23,1988,18,16,1338,14.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,83a6367a
17,Christopher Avevor,de GER,DFMF,Hannover 96,19,1992,1,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9fc140dd
18,Ryan Babel,nl NED,FWMF,Hoffenheim,24,1986,31,28,2443,27.1,4,2,6,3,1,1,6,1,0.15,0.07,0.22,0.11,0.18,Matches,6438d426
19,Holger Badstuber,de GER,DF,Bayern Munich,22,1989,33,32,2896,32.2,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,45b7edae
20,Dawda Bah,gm GAM,FWMF,Augsburg,27,1983,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de43047d
21,Mamadou Bah,gn GUI,MF,Stuttgart,23,1988,3,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4248e7f
22,Daniel Baier,de GER,MF,Augsburg,27,1984,33,33,2799,31.1,0,3,3,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches,f261abcb
23,Hanno Balitsch,de GER,MF,Nürnberg,30,1981,12,12,886,9.8,1,0,1,1,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,2b48fa93
24,Hanno Balitsch,de GER,MF,Leverkusen,30,1981,8,4,448,5.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2b48fa93
25,Michael Ballack,de GER,MF,Leverkusen,34,1976,18,15,1208,13.4,2,1,3,2,0,0,4,0,0.15,0.07,0.22,0.15,0.22,Matches,9d1b8b6b
26,Philipp Bargfrede,de GER,MF,Werder Bremen,22,1989,23,21,1853,20.6,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,3f7cd8f1
27,Tranquillo Barnetta,ch SUI,MF,Leverkusen,26,1985,7,3,353,3.9,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,6b594e37
28,Lucas Barrios,py PAR,FW,Dortmund,26,1984,17,3,428,4.8,4,0,4,4,0,0,1,0,0.84,0.00,0.84,0.84,0.84,Matches,618feb69
29,Oliver Barth,de GER,DF,Freiburg,31,1979,12,12,1035,11.5,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,aef37fbb
30,Felix Bastians,de GER,DFMF,Hertha BSC,23,1988,13,13,1108,12.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89063b3e
31,Felix Bastians,de GER,DFMF,Freiburg,23,1988,16,16,1413,15.7,0,2,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,89063b3e
32,Daniel Batz,de GER,GK,Freiburg,20,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ec759ba1
33,Oliver Baumann,de GER,GK,Freiburg,21,1990,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,47064058
