Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Damià Abella,es ESP,DFMF,Osasuna,30,1982,29,29,2471,27.5,0,1,1,0,0,0,15,0,0.00,0.04,0.04,0.00,0.04,Matches,e35b4a15
2,Éric Abidal,fr FRA,DF,Barcelona,32,1979,5,2,187,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,016828bd
3,David Abraham,ar ARG,DF,Getafe,26,1986,9,9,768,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,565bf0da
4,Mohammed Abu,gh GHA,FWMF,Rayo Vallecano,20,1991,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1f17b17
5,Robert Acquafresca,it ITA,FW,Levante,24,1987,13,12,936,10.4,3,0,3,3,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,d2b115ae
6,Antonio Adán,es ESP,GK,Real Madrid,25,1987,3,3,186,2.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,65d62814
7,Adrián,es ESP,GK,Betis,25,1987,32,31,2869,31.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f76e6b4e
8,Adriano,br BRA,DFMF,Barcelona,27,1984,23,18,1428,15.9,5,1,6,5,0,0,3,0,0.32,0.06,0.38,0.32,0.38,Matches,9d8586c4
9,Aritz Aduriz,es ESP,FW,Athletic Club,31,1981,36,33,2547,28.3,14,6,20,13,1,2,12,1,0.49,0.21,0.71,0.46,0.67,Matches,293211e1
10,Imanol Agirretxe,es ESP,FW,Real Sociedad,25,1987,34,22,2060,22.9,13,6,19,13,0,0,2,0,0.57,0.26,0.83,0.57,0.83,Matches,c84c1afc
11,Salvador Agra,pt POR,FWMF,Betis,20,1991,10,7,506,5.6,1,0,1,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,a130741a
12,Tarsicio Aguado,es ESP,MF,Zaragoza,17,1994,1,0,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,345ebb78
13,Abel Aguilar,co COL,MF,La Coruña,27,1985,28,27,2411,26.8,3,3,6,3,0,0,13,1,0.11,0.11,0.22,0.11,0.22,Matches,6936b41b
14,Javi Álamo,es ESP,FWMF,Zaragoza,23,1988,7,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffd69308
15,Jordi Alba,es ESP,DFMF,Barcelona,23,1989,29,27,2497,27.7,2,5,7,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25,Matches,4601e194
16,David Albelda,es ESP,DFMF,Valencia,34,1977,18,16,1188,13.2,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,def14f68
17,Raúl Albiol,es ESP,DF,Real Madrid,26,1985,18,14,1380,15.3,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,4bd414c1
18,Paco Alcácer,es ESP,FW,Getafe,18,1993,20,6,694,7.7,3,0,3,3,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,a7a9d95a
19,Thiago Alcántara,es ESP,MF,Barcelona,21,1991,27,15,1415,15.7,2,4,6,2,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches,77e84962
20,Pablo Alcolea,es ESP,GK,Zaragoza,23,1989,2,1,103,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7d093d18
21,Alexis,es ESP,DF,Getafe,26,1985,26,25,2246,25.0,3,0,3,3,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches,db0cd1ae
22,Alejandro Alfaro,es ESP,FWMF,Mallorca,25,1986,27,13,1302,14.5,6,1,7,6,0,0,1,0,0.41,0.07,0.48,0.41,0.48,Matches,7c293728
23,Christian Alfonso,es ESP,MF,Espanyol,23,1989,13,2,313,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ecfe11fd
24,Xabi Alonso,es ESP,MF,Real Madrid,30,1981,28,22,2149,23.9,0,5,5,0,0,1,11,0,0.00,0.21,0.21,0.00,0.21,Matches,dc001a06
25,Cristian Álvarez,ar ARG,GK,Espanyol,26,1985,18,18,1597,17.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,87e89eb4
26,Sergio Álvarez,es ESP,GK,Celta Vigo,25,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8875b8c9
27,Víctor Álvarez,es ESP,DFMF,Espanyol,19,1993,18,13,1146,12.7,0,2,2,0,0,0,2,1,0.00,0.16,0.16,0.00,0.16,Matches,563f3469
28,Dani Alves,br BRA,DFMF,Barcelona,29,1983,30,26,2265,25.2,0,6,6,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,Matches,c9e99e49
29,Diego Alves,br BRA,GK,Valencia,27,1985,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
30,Jordi Amat,id IDN,DF,Rayo Vallecano,20,1992,27,26,2193,24.4,1,0,1,1,0,0,12,0,0.04,0.00,0.04,0.04,0.04,Matches,d70a2141
31,Antonio Amaya,es ESP,DF,Betis,29,1983,28,26,2353,26.1,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,cfe5ba41
32,Fernando Amorebieta,ve VEN,DF,Athletic Club,27,1985,11,10,886,9.8,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,b2bbc0ec
33,Juan Ángel Albín,uy URU,FWMF,Espanyol,26,1986,7,2,225,2.5,1,0,1,1,0,0,2,1,0.40,0.00,0.40,0.40,0.40,Matches,6be43cc9
34,José Ángel,es ESP,DF,Real Sociedad,22,1989,11,2,248,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3024e383
