Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Kassim Abdallah,km COM,DF,Marseille,25,1987,13,11,869,9.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,6ae490cc
2,Aymen Abdennour,tn TUN,DF,Toulouse,22,1989,30,30,2700,30.0,1,2,3,1,0,0,6,0,0.03,0.07,0.10,0.03,0.10,Matches,2f798b41
3,Pape Abdou Camara,sn SEN,MF,Valenciennes,20,1991,6,2,216,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a4728b8
4,Rafidine Abdullah,km COM,MF,Marseille,18,1994,15,3,464,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4d9ee090
5,Vincent Aboubakar,cm CMR,FW,Valenciennes,20,1992,28,13,1190,13.2,2,1,3,2,0,0,0,0,0.15,0.08,0.23,0.15,0.23,Matches,8637e09a
6,Fabrice Abriel,fr FRA,MF,Nice,33,1979,28,19,1789,19.9,1,2,3,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Matches,94ae30a8
7,Mohammed Abu,gh GHA,FWMF,Lorient,20,1991,7,6,523,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1f17b17
8,Youssef Adnane,fr FRA,FW,Evian,27,1985,18,7,716,8.0,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,0cb152eb
9,Kossi Agassa,tg TOG,GK,Reims,34,1978,33,33,2925,32.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,14a03f68
10,Ali Ahamada,km COM,GK,Toulouse,20,1991,36,35,3154,35.0,1,0,1,1,0,0,1,1,0.03,0.00,0.03,0.03,0.03,Matches,0b64b1e6
11,Karim Aït-Fana,ma MAR,FWMF,Montpellier,23,1989,8,3,283,3.1,0,2,2,0,0,0,0,0,0.00,0.64,0.64,0.00,0.64,Matches,e4f090b8
12,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,19,1992,19,13,1300,14.4,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,fdf4b948
13,Danijel Aleksi?,rs SRB,FWMF,Saint-Étienne,21,1991,2,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d68cb24c
14,Romain Alessandrini,fr FRA,FWMF,Rennes,23,1989,22,20,1565,17.4,10,6,16,10,0,0,2,0,0.58,0.35,0.92,0.58,0.92,Matches,7a7610d2
15,Alex,br BRA,DF,Paris S-G,30,1982,24,22,2060,22.9,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,58721835
16,Jérémie Aliadière,fr FRA,FWMF,Lorient,29,1983,31,31,2647,29.4,15,8,23,13,2,2,4,0,0.51,0.27,0.78,0.44,0.71,Matches,68ef3d96
17,Paul Alo'o,cm CMR,FW,Nancy,28,1983,23,13,1232,13.7,3,0,3,3,0,1,1,0,0.22,0.00,0.22,0.22,0.22,Matches,5b37963b
18,Alejandro Alonso,ar ARG,MF,Saint-Étienne,30,1982,10,1,198,2.2,0,1,1,0,0,0,1,1,0.00,0.45,0.45,0.00,0.45,Matches,52c2dde2
19,Ibrahim Amadou,fr FRA,DFMF,Nancy,19,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9260926b
20,Morgan Amalfitano,fr FRA,MF,Marseille,27,1985,26,20,1638,18.2,1,3,4,1,0,0,4,0,0.05,0.16,0.22,0.05,0.22,Matches,ab914649
21,Stephan Andersen,dk DEN,GK,Evian,30,1981,9,8,797,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,314c2af0
22,Benjamin André,fr FRA,DFMF,Ajaccio,21,1990,27,19,1698,18.9,0,2,2,0,0,0,5,1,0.00,0.11,0.11,0.00,0.11,Matches,ef9c1c95
23,Benjamin Angoua,ci CIV,DF,Valenciennes,25,1986,24,23,2109,23.4,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches,de715534
24,Aldo Angoula,fr FRA,DF,Evian,31,1981,22,18,1686,18.7,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,301a013a
25,Gaël Angoula,fr FRA,DFMF,Bastia,30,1982,18,15,1307,14.5,0,1,1,0,0,0,6,1,0.00,0.07,0.07,0.00,0.07,Matches,504d4bb0
26,Kévin Anin,fr FRA,MF,Nice,26,1986,13,10,911,10.1,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,9b040de4
27,Onyekachi Apam,ng NGA,DF,Rennes,25,1986,11,8,748,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40965cd3
28,Fabrice Apruzesse,fr FRA,FW,Marseille,27,1985,1,0,18,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,741f3653
29,Alphonse Areola,fr FRA,GK,Paris S-G,19,1993,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
30,Sylvain Armand,fr FRA,DF,Paris S-G,31,1980,18,11,1044,11.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cfa036c3
31,Pierre-Emerick Aubameyang,ga GAB,FWMF,Saint-Étienne,23,1989,37,36,3209,35.7,19,8,27,18,1,2,2,0,0.53,0.22,0.76,0.50,0.73,Matches,d5dd5f1f
32,Fabien Audard,fr FRA,GK,Lorient,34,1978,34,34,3025,33.6,0,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,9bb204e5
33,André Auras,fr FRA,MF,Brest,21,1991,8,4,380,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56824dd7
