Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,David Abraham,ar ARG,DF,Hoffenheim,28,1986,14,9,894,9.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,565bf0da
2,René Adler,de GER,GK,Hamburger SV,29,1985,12,11,1060,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f71890f5
3,Stefan Aigner,de GER,FWMF,Eint Frankfurt,26,1987,28,23,2088,23.2,9,0,9,9,0,0,8,0,0.39,0.00,0.39,0.39,0.39,Matches,17cc3f63
4,David Alaba,at AUT,DFMF,Bayern Munich,22,1992,19,19,1665,18.5,2,1,3,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches,05439de2
5,Miiko Albornoz,cl CHI,DFMF,Hannover 96,23,1990,28,25,2185,24.3,0,3,3,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,d459281d
6,Thiago Alcántara,es ESP,MF,Bayern Munich,23,1991,7,2,285,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77e84962
7,Sami Allagui,tn TUN,FWMF,Hertha BSC,28,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96d9f642
8,Sami Allagui,tn TUN,FWMF,Mainz 05,28,1986,19,9,807,9.0,2,0,2,2,0,0,4,0,0.22,0.00,0.22,0.22,0.22,Matches,96d9f642
9,Xabi Alonso,es ESP,MF,Bayern Munich,32,1981,26,24,1963,21.8,2,3,5,2,0,0,6,0,0.09,0.14,0.23,0.09,0.23,Matches,dc001a06
10,Halil Alt?ntop,tr TUR,FWMF,Augsburg,31,1982,31,30,2460,27.3,3,5,8,3,0,0,1,0,0.11,0.18,0.29,0.11,0.29,Matches,efcdb132
11,Nadiem Amiri,de GER,MF,Hoffenheim,17,1996,7,4,330,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,555d5edd
12,Leon Andreasen,dk DEN,DFMF,Hannover 96,31,1983,17,11,965,10.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,8a000de5
13,Dennis Aogo,de GER,DFMF,Schalke 04,27,1987,25,20,1974,21.9,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches,c311243f
14,Maximilian Arnold,de GER,MF,Wolfsburg,20,1994,27,17,1669,18.5,4,2,6,4,0,0,8,0,0.22,0.11,0.32,0.22,0.32,Matches,86e119e0
15,Tolgay Arslan,de GER,MF,Hamburger SV,23,1990,13,8,650,7.2,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,963a328b
16,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,25,1989,33,31,2714,30.2,16,6,22,14,2,2,4,0,0.53,0.20,0.73,0.46,0.66,Matches,d5dd5f1f
17,Levent Ayçiçek,de GER,MF,Werder Bremen,20,1994,11,5,539,6.0,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,bbbfb513
18,Kaan Ayhan,tr TUR,DFMF,Schalke 04,19,1994,15,10,960,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2200181e
19,Milan Badelj,hr CRO,MF,Hamburger SV,25,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8c930bb
20,Holger Badstuber,de GER,DF,Bayern Munich,25,1989,10,9,769,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45b7edae
21,Daniel Baier,de GER,MF,Augsburg,30,1984,34,34,3054,33.9,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,f261abcb
22,Marvin Bakalorz,de GER,MF,Paderborn 07,24,1989,29,26,2171,24.1,1,2,3,1,0,0,2,1,0.04,0.08,0.12,0.04,0.12,Matches,04c11885
23,Anderson Bamba,br BRA,DF,Eint Frankfurt,26,1988,22,19,1686,18.7,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,b85d1f36
24,Philipp Bargfrede,de GER,MF,Werder Bremen,25,1989,16,15,1253,13.9,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,3f7cd8f1
25,Tranquillo Barnetta,ch SUI,MF,Schalke 04,29,1985,22,10,1077,12.0,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,Matches,6b594e37
26,Fin Bartels,de GER,MF,Werder Bremen,27,1987,29,27,2416,26.8,4,4,8,4,0,0,5,0,0.15,0.15,0.30,0.15,0.30,Matches,acc7b7ec
27,Oliver Baumann,de GER,GK,Hoffenheim,24,1990,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47064058
28,Timo Baumgartl,de GER,DF,Stuttgart,18,1996,20,18,1647,18.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bd7d2e6d
29,Julian Baumgartlinger,at AUT,DFMF,Mainz 05,26,1988,26,26,2303,25.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,69374ff5
30,Andreas Beck,de GER,DFMF,Hoffenheim,27,1987,33,33,2965,32.9,0,2,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,00a6485f
31,Roy Beerens,nl NED,FWMF,Hertha BSC,26,1987,27,24,2072,23.0,4,1,5,4,0,0,3,0,0.17,0.04,0.22,0.17,0.22,Matches,abb32016
32,Valon Behrami,ch SUI,DFMF,Hamburger SV,29,1985,22,22,1910,21.2,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,d3d758d8
33,Maximilian Beister,de GER,FWMF,Hamburger SV,23,1990,5,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,25df5f56
