Round,Wk,Day,Date,Time,Home,xG,Score,xG_1,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Thu,6/14/2018,18:00 (09:00),Russia ru,1.7,5–0,0.2,sa Saudi Arabia,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Néstor Pitana,Match Report,
Group stage,1,Fri,6/15/2018,17:00 (06:00),Egypt eg,0.3,0–1,1.6,uy Uruguay,27015,Stadion Central'nyj (Neutral Site),Björn Kuipers,Match Report,
Group stage,1,Fri,6/15/2018,18:00 (09:00),Morocco ma,0.7,0–1,1,ir IR Iran,62548,Gazprom Arena (Neutral Site),Cüneyt Çak?r,Match Report,
Group stage,1,Fri,6/15/2018,21:00 (12:00),Portugal pt,1.2,3–3,1.6,es Spain,43866,Olimpiyskiy Stadion Fisht (Neutral Site),Gianluca Rocchi,Match Report,
Group stage,1,Sat,6/16/2018,13:00 (04:00),France fr,1.3,2–1,1,au Australia,41279,Kazan Arena (Neutral Site),Andrés Cunha,Match Report,
Group stage,1,Sat,6/16/2018,16:00 (07:00),Argentina ar,1.9,1–1,1,is Iceland,44190,Otkrytie Arena (Neutral Site),Szymon Marciniak,Match Report,
Group stage,1,Sat,6/16/2018,19:00 (10:00),Peru pe,1.7,0–1,1,dk Denmark,40502,Mordovia Arena (Neutral Site),Bakary Papa Gassama,Match Report,
Group stage,1,Sat,6/16/2018,21:00 (13:00),Croatia hr,1.5,2–0,0.7,ng Nigeria,31136,Kaliningrad Stadium (Neutral Site),Sandro Ricci,Match Report,
Group stage,1,Sun,6/17/2018,16:00 (06:00),Costa Rica cr,0.9,0–1,0.9,rs Serbia,41432,Cosmos Arena (Neutral Site),Malang Diédhiou,Match Report,
Group stage,1,Sun,6/17/2018,18:00 (09:00),Germany de,1.4,0–1,1.3,mx Mexico,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Alireza Faghani,Match Report,
Group stage,1,Sun,6/17/2018,21:00 (12:00),Brazil br,2.2,1–1,0.9,ch Switzerland,43109,Rostov Arena (Neutral Site),César Ramos,Match Report,
Group stage,1,Mon,6/18/2018,15:00 (06:00),Sweden se,2.3,1–0,0.3,kr Korea Republic,42300,Stadion Nizhny Novgorod (Neutral Site),Joel Aguilar,Match Report,
