Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,Cristiano Ronaldo LW ST,31,94,94,"Real Madrid
2009 ~ 2021",20801,"185cm / 6'1""",80kg / 176lbs,Right,91,ST,0,"Jul 1, 2009",,€87M,€575K,€0,433,84,93,85,83,88,419,92,81,76,77,93,432,91,92,90,96,63,449,92,95,92,80,90,356,63,29,94,85,85,86,76,22,31,23,58,7,11,15,14,11,2223,470,4,5,High,Low,5,Unique,92,92,82,91,33,80
,L. Messi RW,29,93,93,"FC Barcelona
2004 ~ 2018",158023,"170cm / 5'7""",72kg / 159lbs,Left,92,CAM,0,"Jul 1, 2004",,€89M,€575K,€0,416,77,95,71,88,85,458,97,89,90,87,95,459,92,87,90,95,95,374,85,68,74,59,88,327,48,22,93,90,74,94,67,13,28,26,54,6,11,15,14,8,2155,448,4,4,Medium,Medium,5,Unique,89,90,86,96,26,61
,Neymar LW,24,92,94,"FC Barcelona
2013 ~ 2021",190871,"175cm / 5'9""",68kg / 150lbs,Right,89,LW,2,"Jul 1, 2013",,€106M,€450K,€0,390,75,89,62,81,83,431,96,81,84,75,95,449,93,90,96,88,82,348,78,61,79,53,77,343,56,36,90,80,81,80,78,21,24,33,59,9,9,15,15,11,2098,440,5,5,High,Medium,5,Unique,91,84,79,95,30,61
,L. Suárez ST,29,92,92,"FC Barcelona
2014 ~ 2021",176580,"182cm / 6'0""",86kg / 190lbs,Right,88,ST,0,"Jul 11, 2014",,€83M,€525K,€0,419,77,94,77,83,88,411,86,86,84,64,91,404,88,77,86,93,60,411,87,69,89,80,86,380,78,41,92,84,85,83,113,30,45,38,153,27,25,31,33,37,2291,461,4,4,High,Medium,5,Normal (170-185),82,90,79,87,42,81
,M. Neuer GK,30,92,92,"FC Bayern München
2011 ~ 2021",167495,"193cm / 6'4""",92kg / 203lbs,Right,89,GK,0,"Jul 1, 2011",,€69.5M,€225K,€0,119,15,13,25,55,11,162,30,14,11,59,48,291,58,61,52,85,35,246,25,78,44,83,16,188,29,30,12,70,47,70,31,10,10,11,454,89,90,95,91,89,1491,514,4,1,Medium,Medium,5,Normal (185+),89,90,95,89,60,91
,De Gea GK,25,90,92,"Manchester United
2011 ~ 2019",193080,"193cm / 6'4""",82kg / 181lbs,Right,87,GK,2,"Jul 1, 2011",,€68.5M,€190K,€0,103,17,13,21,39,13,127,18,21,19,38,31,306,57,58,60,88,43,214,31,67,40,64,12,188,38,30,12,68,40,64,47,13,21,13,436,88,85,87,86,90,1421,494,3,1,Medium,Medium,4,Lean (185+),88,85,87,90,58,86
,R. Lewandowski ST,27,90,90,"FC Bayern München
2014 ~ 2021",188545,"185cm / 6'1""",79kg / 174lbs,Right,87,ST,0,"Jul 1, 2014",,€71M,€250K,€0,407,62,91,85,83,86,390,85,77,76,65,87,406,79,82,78,88,79,415,86,84,79,84,82,367,80,39,89,78,81,87,86,25,42,19,51,15,6,12,8,10,2122,447,4,3,High,Medium,4,Normal (170-185),81,87,74,85,38,82
,G. Bale RW,26,90,90,"Real Madrid
2013 ~ 2022",173731,"183cm / 6'0""",74kg / 163lbs,Left,88,ST,0,"Sep 2, 2013",,€72M,€375K,€0,422,87,87,86,86,76,428,89,86,85,80,88,417,93,95,77,87,65,424,91,85,78,80,90,365,65,59,86,79,76,85,158,51,55,52,52,15,15,11,5,6,2266,485,3,4,High,Medium,4,Lean (170-185),94,87,84,86,57,77
,Z. Ibrahimović ST,34,90,90,"Manchester United
2016 ~ 2018",41236,"195cm / 6'5""",95kg / 209lbs,Right,86,ST,0,"Jul 1, 2016",,€36.5M,€300K,€0,423,76,90,80,84,93,415,85,82,82,76,90,352,68,72,86,85,41,421,93,72,75,93,88,364,84,20,86,83,91,91,83,15,41,27,59,13,15,10,9,12,2117,443,4,4,Medium,Low,5,Normal (185+),70,90,81,84,32,86
,T. Courtois GK,24,89,92,"Chelsea
2011 ~ 2019",192119,"199cm / 6'6""",91kg / 201lbs,Left,86,GK,3,"Jul 26, 2011",,€65.5M,€170K,€0,85,14,14,13,32,12,97,13,19,11,31,23,285,46,52,61,81,45,229,36,68,38,70,17,122,23,15,13,44,27,52,45,11,18,16,419,84,91,69,86,89,1282,468,3,1,Medium,Medium,4,Unique,84,91,69,89,49,86
,J. Boateng CB,27,89,89,"FC Bayern München
2011 ~ 2021",183907,"192cm / 6'4""",90kg / 198lbs,Right,86,CB,0,"Jul 14, 2011",,€50M,€200K,€0,317,69,34,86,75,53,306,67,56,31,80,72,351,74,81,58,84,54,378,79,75,75,91,58,335,82,84,47,76,46,86,273,90,92,91,45,7,12,15,6,5,2005,441,4,2,Medium,Medium,4,Stocky (185+),78,50,72,68,89,84
,E. Hazard LW LM,25,89,90,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""",74kg / 163lbs,Right,87,CAM,1,"Jul 1, 2012",,€71.5M,€300K,€0,381,80,81,57,84,79,425,93,82,79,80,91,447,93,87,92,85,90,362,79,59,77,65,82,352,54,41,85,86,86,86,74,25,27,22,45,11,12,6,8,8,2086,444,4,4,High,Medium,4,Normal (170-185),90,81,83,92,32,66
,L. Modrić CM CDM,30,89,89,"Real Madrid
2012 ~ 2020",177003,"174cm / 5'9""",65kg / 143lbs,Right,86,CM,0,"Aug 1, 2012",,€54M,€325K,€0,370,78,71,55,92,74,417,86,79,77,83,92,423,77,71,93,88,94,363,73,67,83,58,82,387,62,76,79,90,80,76,219,66,80,73,52,13,9,7,14,9,2231,462,4,4,High,Medium,4,Lean (170-185),74,75,86,89,72,66
,M. Özil CAM LW,27,89,89,"Arsenal
2013 ~ 2018",176635,"180cm / 5'11""",76kg / 168lbs,Left,86,CAM,0,"Sep 2, 2013",,€62M,€250K,€0,377,82,75,54,89,77,423,86,84,79,84,90,386,77,68,84,87,70,323,70,52,69,56,76,316,48,24,84,93,67,73,57,22,16,19,50,6,14,10,6,14,1932,400,2,4,Medium,Low,4,Lean (170-185),72,74,87,86,24,57
,G. Higuaín ST,28,89,89,"Juventus
2016 ~ 2021",167664,"184cm / 6'0""",87kg / 192lbs,Right,86,ST,0,"Jul 26, 2016",,€61.5M,€275K,€0,401,68,92,80,73,88,364,84,74,62,59,85,390,79,81,75,86,69,401,86,77,73,85,80,302,50,20,92,70,70,84,52,12,22,18,39,5,12,7,5,10,1949,418,4,3,High,Medium,4,Normal (170-185),80,87,69,83,24,75
,Thiago Silva CB,31,89,89,"Paris Saint Germain
2012 ~ 2020",164240,"183cm / 6'0""",79kg / 174lbs,Right,86,CB,0,"Jul 1, 2012",,€39.5M,€170K,€0,322,60,38,82,79,63,363,68,61,73,81,80,375,72,76,75,84,68,397,78,93,74,81,71,372,77,91,59,74,71,80,270,90,91,89,45,9,12,5,9,10,2144,446,3,3,High,High,4,Normal (170-185),74,57,73,73,90,79
,Sergio Ramos CB,30,89,89,"Real Madrid
2005 ~ 2020",155862,"183cm / 6'0""",75kg / 165lbs,Right,86,CB,0,"Aug 1, 2005",,€43.5M,€300K,€0,358,66,60,90,76,66,354,61,73,67,70,83,377,77,78,80,82,60,391,79,92,84,81,55,355,84,88,52,63,68,76,264,85,89,90,46,11,8,9,7,11,2145,453,3,3,High,Medium,4,Normal (170-185),78,63,70,71,88,83
,S. Agüero ST,28,89,89,"Manchester City
2011 ~ 2020",153079,"173cm / 5'8""",70kg / 154lbs,Right,87,CF,0,"Jul 28, 2011",,€61.5M,€325K,€0,392,70,90,68,79,85,395,89,82,72,63,89,442,92,86,86,88,90,398,87,80,74,73,84,335,57,24,91,83,80,90,45,13,20,12,59,13,15,6,11,14,2066,434,4,4,High,Medium,4,Normal (170-185),89,88,75,89,23,70
,P. Pogba CM CDM CAM,23,88,94,"Manchester United
2016 ~ 2021",195864,"191cm / 6'3""",84kg / 185lbs,Right,85,CAM,6,"Aug 9, 2016",,€71.5M,€225K,€0,391,78,71,73,85,84,433,89,84,82,88,90,380,75,79,79,86,61,444,90,85,91,91,87,389,72,70,84,87,76,83,214,68,73,73,20,5,6,2,4,3,2271,486,4,5,High,Medium,4,Lean (185+),77,80,84,87,71,87
,A. Griezmann ST RW LW,25,88,91,"Atlético Madrid
2014 ~ 2022",194765,"176cm / 5'9""",67kg / 148lbs,Left,86,ST,3,"Jul 29, 2014",,€66.5M,€140K,€0,416,82,88,80,79,87,407,87,84,75,75,86,433,87,86,90,90,80,386,81,87,75,61,82,342,69,35,91,76,71,81,56,23,22,11,63,14,8,14,13,14,2103,433,3,4,High,Medium,4,Lean (170-185),86,85,78,87,30,67
,K. De Bruyne CAM CM RM LM,25,88,91,"Manchester City
2015 ~ 2021",192985,"181cm / 5'11""",68kg / 150lbs,Right,85,CAM,3,"Aug 30, 2015",,€65.5M,€275K,€0,397,90,83,53,89,82,418,85,81,84,82,86,395,76,78,78,88,75,394,85,65,85,73,86,369,68,52,84,88,77,84,109,30,39,40,56,15,13,5,10,13,2138,447,4,4,High,High,4,Normal (170-185),77,84,87,84,40,75
,M. Reus LM CAM ST,27,88,88,"Borussia Dortmund
2012 ~ 2019",188350,"182cm / 6'0""",76kg / 168lbs,Right,86,CAM,0,"Jul 1, 2012",,€52M,€140K,€0,392,83,84,51,86,88,424,86,90,84,79,85,436,89,91,87,87,82,384,87,72,73,67,85,356,49,50,87,86,84,83,112,30,36,46,61,12,12,13,13,11,2165,450,4,4,Medium,Medium,4,Lean (170-185),90,85,84,86,40,65
